,,,,,,,,,,,,,,,,,,,,,,,,
Physical Distance,Lime Distance,Hood Angle,Spinner RPM,Cal,Diff,RPM difference,actual RPM,% diff,,Simulation stuff,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,
12,115,,,,,,,,,,,,,,,,,,,,,,,
18,2.921,2.92,25.8548,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,Theta holds at 62,Theory,,,,,,,,,,
36,,,,,,,,,,X,Theta,Velocity (ft/s),Velocity (ft/s) - no theta,Angle,RPM,Robot Angle,Pos,RPM F,Pos F,distance to hub real,,,,
252,,,,,,,,,,,,,,,,90,62,2085.36,,6.6167,2085.2545,34.75424167,2.782788487,37.79266511
258,,,,,,,,,,,,,,,,90,62,2105.94,,6.7691,2105.8285,35.09714167,1.416476157,19.23696655
264,,,,,,,,,,,,,,,,90,62,2126.52,,6.9215,2126.4025,35.44004167,-0.03716503,-0.5047331262
270,,,,,,,,,,,,,,,,90,62,2147.1,,7.0739,2146.9765,35.78294167,-1.578135075,-21.43243393
276,,,,,,,,,,,,,,,,90,62,2167.68,,7.2263,2167.5505,36.12584167,-3.206433977,-43.54613585
282,,,,,,,,,,,,,,,,90,62,2188.26,,7.3787,2188.1245,36.46874167,-4.922061737,-66.8458389
288,,,,,,,,,,,,,,,,90,62,2208.84,,7.5311,2208.6985,36.81164167,-6.725018355,-91.33154306
294,,,,,,,,,,,,,,,,90,62,2229.42,,7.6835,2229.2725,37.15454167,-8.61530383,-117.0032484
300,,,,,,,,,,,,,,,,90,62,2250,,308.5,42839.5,713.9916667,-173948.23,-2362366.825
306,,,,,,,,,,,,,,,,90,62,2270.58,,314.5,43649.5,727.4916667,-180878.47,-2456485.455
312,,,,,,,,,,,,,,,,90,62,2291.16,,320.5,44459.5,740.9916667,-187944.07,-2552442.39
318,,,,,,,,,,,,,,,,90,62,2311.74,,326.5,45269.5,754.4916667,-195145.03,-2650237.631
324,,,,,,,,,,,,,,,,90,62,2332.32,,332.5,46079.5,767.9916667,-202481.35,-2749871.177
330,,,,,,,,,,,,,,,,90,62,2352.9,,338.5,46889.5,781.4916667,-209953.03,-2851343.028
336,,,,,,,,,,,,,,,,90,62,2373.48,,344.5,47699.5,794.9916667,-217560.07,-2954653.185
342,,,,,,,,,,,,,,,,90,62,2394.06,,350.5,48509.5,808.4916667,-225302.47,-3059801.647
348,,,,,,,,,,,,,,,,90,62,2414.64,,356.5,49319.5,821.9916667,-233180.23,-3166788.415
354,,,,,,,,,,,,,,,,90,62,2435.22,,362.5,50129.5,835.4916667,-241193.35,-3275613.488
360,,,,,,,,,,,,,,,,90,62,2455.8,,368.5,50939.5,848.9916667,-249341.83,-3386276.867
366,,,,,,,,,,,,,,,,90,62,2476.38,,374.5,51749.5,862.4916667,-257625.67,-3498778.551
372,,,,,,,,,,,,,,,,90,62,2496.96,,380.5,52559.5,875.9916667,-266044.87,-3613118.54
378,,,,,,,,,,,,,,,,90,62,2517.54,,386.5,53369.5,889.4916667,-274599.43,-3729296.835
384,,,,,,,,,,,,,,,,90,62,2538.12,,392.5,54179.5,902.9916667,-283289.35,-3847313.435
390,,,,,,,,,,,,,,,,90,62,2558.7,,398.5,54989.5,916.4916667,-292114.63,-3967168.341
396,,,,,,,,,,,,,,,,90,62,2579.28,,404.5,55799.5,929.9916667,-301075.27,-4088861.552
402,,,,,,,,,,,,,,,,90,62,2599.86,,410.5,56609.5,943.4916667,-310171.27,-4212393.068
408,,,,,,,,,,,,,,,,90,62,2620.44,,416.5,57419.5,956.9916667,-319402.63,-4337762.89
414,,,,,,,,,,,,,,,,90,62,2641.02,,422.5,58229.5,970.4916667,-328769.35,-4464971.018
420,,,,,,,,,,,,,,,,90,62,2661.6,,428.5,59039.5,983.9916667,-338271.43,-4594017.45
426,,,,,,,,,,,,,,,,90,62,2682.18,,434.5,59849.5,997.4916667,-347908.87,-4724902.189
432,,,,,,,,,,,,,,,,90,62,2702.76,,440.5,60659.5,1010.991667,-357681.67,-4857625.232
438,,,,,,,,,,,,,,,,90,62,2723.34,,446.5,61469.5,1024.491667,-367589.83,-4992186.581
444,,,,,,,,,,,,,,,,90,62,2743.92,,452.5,62279.5,1037.991667,-377633.35,-5128586.235
450,,,,,,,,,,,,,,,,90,62,2764.5,,458.5,63089.5,1051.491667,-387812.23,-5266824.195
456,,,,,,,,,,,,,,,,90,62,2785.08,,464.5,63899.5,1064.991667,-398126.47,-5406900.46
462,,,,,,,,,,,,,,,,90,62,2805.66,,470.5,64709.5,1078.491667,-408576.07,-5548815.031
468,,,,,,,,,,,,,,,,90,62,2826.24,,476.5,65519.5,1091.991667,-419161.03,-5692567.907
474,,,,,,,,,,,,,,,,90,62,2846.82,,482.5,66329.5,1105.491667,-429881.35,-5838159.089
480,,,,,,,,,,,,,,,,90,62,2867.4,,488.5,67139.5,1118.991667,-440737.03,-5985588.576
